OSEBuildingID,BuildingType,PropertyName,Neighborhood,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),LargestPropertyUseType,ENERGYSTARScore,SiteEnergyUse(kBtu),TotalGHGEmissions,SteamRatio,ElectricityRatio,NaturalGasRatio,SurfacePerBuilding,SurfacePerFloor,ParkingRatio,BuildingRatio,building_age
10,NonResidential,Camlin,Downtown,1.0,11,83008,0,83008,Hotel,27.0,5758795.0,176.14,0.0,0.4881602835315374,0.5118397164684626,83008.0,7546.181818181818,0.0,1.0,99
29,NonResidential,WATERTOWN HOTEL,Northeast,1.0,6,88592,30586,58006,Hotel,84.0,3663534.5,90.01,0.0,0.6185914176596399,0.3814084458601386,58006.0,9667.666666666666,0.34524562037204265,0.6547543796279574,24
35,NonResidential,Hotel Five,Downtown,1.0,5,68410,16200,52210,Hotel,57.0,4456714.5,128.44,0.0,0.5264750524180986,0.4735248353916321,52210.0,10442.0,0.2368074842859231,0.7631925157140769,47
40,NonResidential,Silver Cloud University,Northeast,1.0,4,81871,0,81871,Hotel,29.0,6668568.5,215.0,0.0,0.45233081132779845,0.5476691136935911,81871.0,20467.75,0.0,1.0,31
50,SPS-District K-12,Lawton Elementary,Magnolia / Queen Anne,1.0,2,54986,0,54986,K-12 School,97.0,1650279.25,31.47,0.0,0.7378078588820649,0.262191989628422,54986.0,27493.0,0.0,1.0,35
52,NonResidential,SBC52,Ballard,1.0,2,94900,0,94900,Office,57.0,6186461.5,130.56,0.0,0.6937059254308784,0.30629399374747585,94900.0,47450.0,0.0,1.0,64
53,NonResidential,El Centro de la Raza,Greater Duwamish,1.0,2,52554,0,52554,Office,83.0,2951331.25,83.86,0.0,0.5352665852062523,0.4647333300862111,52554.0,26277.0,0.0,1.0,125
57,NonResidential,5th and Pine,Downtown,1.0,5,168115,0,168115,Office,78.0,9536161.0,66.48,0.0,0.9999998951359986,0.0,168115.0,33623.0,0.0,1.0,52
59,NonResidential,Gibraltar Tower,Downtown,1.0,8,59400,0,59400,Office,14.0,5071974.0,35.36,0.0,0.9999998028381061,0.0,59400.0,7425.0,0.0,1.0,115
62,NonResidential,Roosevelt Hotel,Downtown,1.0,20,98634,10043,88591,Hotel,71.0,4841347.5,59.19,0.0,0.8861291200435416,0.11387077667942655,88591.0,4429.55,0.10182087312691364,0.8981791268730863,95
65,NonResidential,Inn at the Market,Downtown,1.0,7,71150,0,71150,Hotel,98.0,5348309.0,134.38,0.0,0.606528156843593,0.3934716561814211,71150.0,10164.285714285714,0.0,1.0,40
67,NonResidential,QUALITY INN,Lake Union,1.0,5,113173,42546,70627,Hotel,86.0,5284343.5,144.79,0.0,0.5572461366298387,0.4427537687510284,70627.0,14125.4,0.3759377236620042,0.6240622763379958,66
68,NonResidential,Rainier Hospitality,Lake Union,1.0,7,150453,34735,115718,Hotel,84.0,6715187.0,199.95,0.0,0.5057355811535852,0.49426441884641487,115718.0,16531.14285714286,0.23086944095498263,0.7691305590450174,25
69,NonResidential,Sequim Lodging Corp,Lake Union,1.0,6,116300,28200,88100,Hotel,80.0,5827595.5,162.39,0.0,0.547130802060644,0.4528691121406762,88100.0,14683.333333333334,0.24247635425623387,0.7575236457437661,28
70,NonResidential,Homewood Suites by Hilton Seattle Downtonw,Magnolia / Queen Anne,1.0,6,155602,36744,118858,Hotel,81.0,6836900.0,152.76,0.0,0.666813468092264,0.3331863856426158,118858.0,19809.666666666668,0.23614092363851363,0.7638590763614863,27
73,NonResidential,Seattle Hebrew Academy,East,1.0,3,56072,0,56072,K-12 School,76.0,3234787.75,146.34,0.0,0.17060377454440404,0.8293959936011258,56072.0,18690.666666666668,0.0,1.0,114
77,NonResidential,Comfort Suites Seattle Center,Magnolia / Queen Anne,1.0,4,122942,44891,78051,Hotel,94.0,5337334.0,171.64,0.0,0.454108736683895,0.545891263316105,78051.0,19512.75,0.36513965935156417,0.6348603406484359,26
82,NonResidential,Dept of Social & Health Services,Central,1.0,2,54984,0,54984,Office,71.0,3375211.0,87.98,0.0,0.5861055797696796,0.4138944202303204,54984.0,27492.0,0.0,1.0,63
86,NonResidential,SCCA - ALLIANCE HOUSE,Lake Union,1.0,6,84103,20732,63371,Hotel,74.0,3706100.25,67.06,0.0,0.7589346780352204,0.24106525450842836,63371.0,10561.833333333334,0.2465072589562798,0.7534927410437202,17
98,NonResidential,Firestone Store#012432,Lake Union,1.0,2,58320,0,58320,Retail,96.0,1049748.625,39.06,0.0,0.34465679819299594,0.6553426064263719,58320.0,29160.0,0.0,1.0,96
100,NonResidential,City Place III - SEDO,Lake Union,1.0,5,316306,0,316306,Office,96.0,13795954.0,138.85,0.0,0.9329612870556107,0.06703856797434958,316306.0,63261.2,0.0,1.0,15
115,NonResidential,J.G. Scripps Building,Magnolia / Queen Anne,1.0,4,76213,25930,50283,Office,68.0,3476212.5,48.76,0.0,0.8470978111953743,0.15290204496992058,50283.0,12570.75,0.3402306693083857,0.6597693306916143,55
116,NonResidential,MEDITERRANEAN INN (ID#116),Magnolia / Queen Anne,1.0,6,96910,36934,59976,Hotel,56.0,5155568.5,152.14,0.0,0.5114879183546878,0.48851217862782736,59976.0,9996.0,0.3811164998452172,0.6188835001547828,23
117,NonResidential,UNIVERSITY INN,Northeast,2.0,4,50017,0,50017,Hotel,53.0,5448975.0,191.2,0.0,0.3905883216568254,0.6094116783431747,25008.5,12504.25,0.0,1.0,63
